_id,Codice_ateco,Descrizione_ateco
2233,56.30.00,56.30.00 - Bar e altri esercizi simili senza cucina
2234,58,58 - ATTIVITÀ EDITORIALI
2235,58.1,"58.1 - EDIZIONE DI LIBRI, PERIODICI ED ALTRE ATTIVITÀ EDITORIALI"
2236,58.11,58.11 - Edizione di libri
2237,58.11.0,58.11.0 - Edizione di libri
2238,58.11.00,58.11.00 - Edizione di libri
2239,58.12,58.12 - Pubblicazione di elenchi e mailing list
2240,58.12.0,58.12.0 - Pubblicazione di elenchi e mailing list
2241,58.12.01,58.12.01 - Pubblicazione di elenchi
2242,58.12.02,58.12.02 - Pubblicazione di mailing list
2243,58.13,58.13 - Edizione di quotidiani
2244,58.13.0,58.13.0 - Edizione di quotidiani
2245,58.13.00,58.13.00 - Edizione di quotidiani
2246,58.14,58.14 - Edizione di riviste e periodici
2247,58.14.0,58.14.0 - Edizione di riviste e periodici
2248,58.14.00,58.14.00 - Edizione di riviste e periodici
2249,58.19,58.19 - Altre attività editoriali
2250,58.19.0,58.19.0 - Altre attività editoriali
2251,58.19.00,58.19.00 - Altre attività editoriali
2252,58.2,58.2 - EDIZIONE DI SOFTWARE
2253,58.21,58.21 - Edizione di giochi per computer
2254,58.21.0,58.21.0 - Edizione di giochi per computer
2255,58.21.00,58.21.00 - Edizione di giochi per computer
2256,58.29,58.29 - Edizione di altri software
2257,58.29.0,58.29.0 - Edizione di altri software a pacchetto (esclusi giochi per computer)
2258,58.29.00,58.29.00 - Edizione di altri software a pacchetto (esclusi giochi per computer)
2259,59,"59 - ATTIVITÀ DI PRODUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, DI REGISTRAZIONI MUSICALI E SONORE"
2260,59.1,"59.1 - ATTIVITÀ DI PRODUZIONE, POST-PRODUZIONE E DISTRIBUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, REGISTRAZIONI MUSICALI E SONORE"
2261,59.11,"59.11 - Attività di produzione, post-produzione e distribuzione cinematografica, di video e di programmi televisivi"
2262,59.11.0,"59.11.0 - Attività di produzione cinematografica, di video e di programmi televisivi"
2263,59.11.00,"59.11.00 - Attività di produzione cinematografica, di video e di programmi televisivi"
2264,59.12,"59.12 - Attività di post-produzione cinematografica, di video e di programmi televisivi"
2265,59.12.0,"59.12.0 - Attività di post-produzione cinematografica, di video e di programmi televisivi"
2266,59.12.00,"59.12.00 - Attività di post-produzione cinematografica, di video e di programmi televisivi"
2267,59.13,"59.13 - Attività di distribuzione cinematografica, di video e di programmi televisivi"
2268,59.13.0,"59.13.0 - Attività di distribuzione cinematografica, di video e di programmi televisivi"
2269,59.13.00,"59.13.00 - Attività di distribuzione cinematografica, di video e di programmi televisivi"
2270,59.14,59.14 - Attività di proiezione cinematografica
2271,59.14.0,59.14.0 - Attività di proiezione cinematografica
2272,59.14.00,59.14.00 - Attività di proiezione cinematografica
2273,59.2,59.2 - ATTIVITÀ DI REGISTRAZIONE SONORA E DI EDITORIA MUSICALE
2274,59.20,59.20 - Attività di registrazione sonora e di editoria musicale
2275,59.20.1,59.20.1 - Edizione di registrazioni sonore
2276,59.20.10,59.20.10 - Edizione di registrazioni sonore
2277,59.20.2,59.20.2 - Edizione di musica stampata
2278,59.20.20,59.20.20 - Edizione di musica stampata
2279,59.20.3,59.20.3 - Studi di registrazione sonora
2280,59.20.30,59.20.30 - Studi di registrazione sonora
2281,60,60 - ATTIVITÀ DI PROGRAMMAZIONE E TRASMISSIONE
2282,60.1,60.1 - TRASMISSIONI RADIOFONICHE
2283,60.10,60.10 - Trasmissioni radiofoniche
2284,60.10.0,60.10.0 - Trasmissioni radiofoniche
2285,60.10.00,60.10.00 - Trasmissioni radiofoniche
2286,60.2,60.2 - ATTIVITÀ DI PROGRAMMAZIONE E TRASMISSIONI TELEVISIVE
2287,60.20,60.20 - Attività di programmazione e trasmissioni televisive
2288,60.20.0,60.20.0 - Programmazione e trasmissioni televisive
2289,60.20.00,60.20.00 - Programmazione e trasmissioni televisive
2290,61,61 - TELECOMUNICAZIONI
2291,61.1,61.1 - TELECOMUNICAZIONI FISSE
2292,61.10,61.10 - Telecomunicazioni fisse
2293,61.10.0,61.10.0 - Telecomunicazioni fisse
2294,61.10.00,61.10.00 - Telecomunicazioni fisse
2295,61.2,61.2 - TELECOMUNICAZIONI MOBILI
2296,61.20,61.20 - Telecomunicazioni mobili
2297,61.20.0,61.20.0 - Telecomunicazioni mobili
2298,61.20.00,61.20.00 - Telecomunicazioni mobili
2299,61.3,61.3 - TELECOMUNICAZIONI SATELLITARI
2300,61.30,61.30 - Telecomunicazioni satellitari
2301,61.30.0,61.30.0 - Telecomunicazioni satellitari
2302,61.30.00,61.30.00 - Telecomunicazioni satellitari
2303,61.9,61.9 - ALTRE ATTIVITÀ DI TELECOMUNICAZIONE
2304,61.90,61.90 - Altre attività di telecomunicazione
2305,61.90.1,61.90.1 - Erogazione di servizi di accesso ad internet (ISP)
2306,61.90.10,61.90.10 - Erogazione di servizi di accesso ad internet (ISP)
2307,61.90.2,61.90.2 - Posto telefonico pubblico ed Internet Point
2308,61.90.20,61.90.20 - Posto telefonico pubblico ed Internet Point
2309,61.90.9,61.90.9 - Altre attività connesse alle telecomunicazioni
2310,61.90.91,61.90.91 - Intermediazione in servizi di telecomunicazione e trasmissione dati
2311,61.90.99,61.90.99 - Altre attività connesse alle telecomunicazioni nca
2312,62,"62 - PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE"
2313,62.0,"62.0 - PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE"
2314,62.01,62.01 - Produzione di software non connesso all'edizione
2315,62.01.0,62.01.0 - Produzione di software non connesso all'edizione
2316,62.01.00,62.01.00 - Produzione di software non connesso all'edizione
2317,62.02,62.02 - Consulenza nel settore delle tecnologie dell'informatica
2318,62.02.0,62.02.0 - Consulenza nel settore delle tecnologie dell'informatica
2319,62.02.00,62.02.00 - Consulenza nel settore delle tecnologie dell'informatica
2320,62.03,62.03 - Gestione di strutture informatizzate
2321,62.03.0,62.03.0 - Gestione di strutture e apparecchiature informatiche hardware - housing (esclusa la riparazione)
2322,62.03.00,62.03.00 - Gestione di strutture e apparecchiature informatiche hardware - housing (esclusa la riparazione)
2323,62.09,62.09 - Altre attività dei servizi connessi alle tecnologie dell'informatica
2324,62.09.0,62.09.0 - Altre attività dei servizi connessi alle tecnologie dell'informatica
2325,62.09.01,62.09.01 - Configurazione di personal computer
2326,62.09.09,62.09.09 - Altre attività dei servizi connessi alle tecnologie dell'informatica nca
2327,63,63 - ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI
2328,63.1,"63.1 - ELABORAZIONE DEI DATI, HOSTING E ATTIVITÀ CONNESSE; PORTALI WEB"
2329,63.11,"63.11 - Elaborazione dei dati, hosting e attività connesse"
2330,63.11.1,63.11.1 - Elaborazione dati
2331,63.11.11,63.11.11 - Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf)
2332,63.11.19,63.11.19 - Altre elaborazioni elettroniche di dati
2333,63.11.2,63.11.2 - Gestione database (attività delle banche dati)
2334,63.11.20,63.11.20 - Gestione database (attività delle banche dati)
2335,63.11.3,63.11.3 - Hosting e fornitura di servizi applicativi (ASP)
2336,63.11.30,63.11.30 - Hosting e fornitura di servizi applicativi (ASP)
2337,63.12,63.12 - Portali web
2338,63.12.0,63.12.0 - Portali web
2339,63.12.00,63.12.00 - Portali web
2340,63.9,63.9 - ALTRE ATTIVITÀ DEI SERVIZI D'INFORMAZIONE
2341,63.91,63.91 - Attività delle agenzie di stampa
2342,63.91.0,63.91.0 - Attività delle agenzie di stampa
2343,63.91.00,63.91.00 - Attività delle agenzie di stampa
2344,63.99,63.99 - Altre attività dei servizi di informazione nca
2345,63.99.0,63.99.0 - Altre attività dei servizi di informazione nca
2346,63.99.00,63.99.00 - Altre attività dei servizi di informazione nca
2347,64,64 - ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE)
2348,64.1,64.1 - INTERMEDIAZIONE MONETARIA
2349,64.11,64.11 - Attività delle banche centrali
2350,64.11.0,64.11.0 - Attività della Banca Centrale
2351,64.11.00,64.11.00 - Attività della Banca Centrale
2352,64.19,64.19 - Altre intermediazioni monetarie
2353,64.19.1,64.19.1 - Intermediazione monetaria di istituti monetari diverse dalle Banche centrali
2354,64.19.10,64.19.10 - Intermediazione monetaria di istituti monetari diverse dalle Banche centrali
2355,64.19.2,64.19.2 - Fondi comuni di investimento monetario
2356,64.19.20,64.19.20 - Fondi comuni di investimento monetario
2357,64.19.3,64.19.3 - Istituti di moneta elettronica (Imel)
2358,64.19.30,64.19.30 - Istituti di moneta elettronica (Imel)
2359,64.19.4,64.19.4 - Cassa Depositi e Prestiti
2360,64.19.40,64.19.40 - Cassa Depositi e Prestiti
2361,64.2,64.2 - ATTIVITÀ DELLE SOCIETÀ DI PARTECIPAZIONE (HOLDING)
2362,64.20,64.20 - Attività delle società di partecipazione (holding)
2363,64.20.0,64.20.0 - Attività delle società di partecipazione (holding)
2364,64.20.00,64.20.00 - Attività delle società di partecipazione (holding)
2365,64.3,"64.3 - SOCIETÀ FIDUCIARIE, FONDI E ALTRE SOCIETÀ SIMILI"
2366,64.30,"64.30 - Società fiduciarie, fondi e altre società simili"
2367,64.30.1,"64.30.1 - Fondi comuni di investimento (aperti e chiusi, immobiliari, di mercato mobiliare)"
2368,64.30.10,"64.30.10 - Fondi comuni di investimento (aperti e chiusi, immobiliari, di mercato mobiliare)"
2369,64.30.2,64.30.2 - Sicav (Società di investimento a capitale variabile)
2370,64.30.20,64.30.20 - Sicav (Società di investimento a capitale variabile)
2371,64.9,64.9 - ALTRE ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE)
2372,64.91,64.91 - Leasing finanziario
2373,64.91.0,64.91.0 - Leasing finanziario
2374,64.91.00,64.91.00 - Leasing finanziario
2375,64.92,64.92 - Altre attività creditizie
2376,64.92.0,64.92.0 - Altre attività creditizie
2377,64.92.01,64.92.01 - Attività dei consorzi di garanzia collettiva fidi
2378,64.92.09,64.92.09 - Altre attività creditizie nca
2379,64.99,64.99 - Altre attività di servizi finanziari nca (escluse le assicurazioni e i fondi pensione)
2380,64.99.1,64.99.1 - Attività di intermediazione mobiliare
2381,64.99.10,64.99.10 - Attività di intermediazione mobiliare
2382,64.99.2,64.99.2 - Attività di factoring
2383,64.99.20,64.99.20 - Attività di factoring
2384,64.99.3,64.99.3 - Attività di merchant bank
2385,64.99.30,64.99.30 - Attività di merchant bank
2386,64.99.4,64.99.4 - Attività delle società veicolo
2387,64.99.40,64.99.40 - Attività delle società veicolo
2388,64.99.5,64.99.5 - Attività di intermediazione in cambi
2389,64.99.50,64.99.50 - Attività di intermediazione in cambi
2390,64.99.6,64.99.6 - Altre intermediazioni finanziarie nca
2391,64.99.60,64.99.60 - Altre intermediazioni finanziarie nca
2392,65,"65 - ASSICURAZIONI, RIASSICURAZIONI E FONDI PENSIONE (ESCLUSE LE ASSICURAZIONI SOCIALI OBBLIGATORIE)"
2393,65.1,65.1 - ASSICURAZIONI
2394,65.11,65.11 - Assicurazioni sulla vita
2395,65.11.0,65.11.0 - Assicurazioni sulla vita
2396,65.11.00,65.11.00 - Assicurazioni sulla vita
2397,65.12,65.12 - Assicurazioni diverse da quelle sulla vita
2398,65.12.0,65.12.0 - Assicurazioni diverse da quelle sulla vita
2399,65.12.00,65.12.00 - Assicurazioni diverse da quelle sulla vita
2400,65.2,65.2 - RIASSICURAZIONI
2401,65.20,65.20 - Riassicurazioni
2402,65.20.0,65.20.0 - Attività di riassicurazione
2403,65.20.00,65.20.00 - Attività di riassicurazione
2404,65.3,65.3 - FONDI PENSIONE
2405,65.30,65.30 - Fondi pensione 
2406,65.30.1,65.30.1 - Attività dei fondi pensione aperti
2407,65.30.10,65.30.10 - Attività dei fondi pensione aperti
2408,65.30.2,65.30.2 - Attività dei fondi pensione negoziali
2409,65.30.20,65.30.20 - Attività dei fondi pensione negoziali
2410,65.30.3,65.30.3 - Attività dei fondi pensione preesistenti
2411,65.30.30,65.30.30 - Attività dei fondi pensione preesistenti
2412,66,66 - ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE
2413,66.1,66.1 - ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE)
2414,66.11,66.11 - Amministrazione di mercati finanziari
2415,66.11.0,66.11.0 - Amministrazione di mercati finanziari
2416,66.11.00,66.11.00 - Amministrazione di mercati finanziari
2417,66.12,66.12 - Attività di negoziazione di contratti relativi a titoli e merci
2418,66.12.0,66.12.0 - Attività di negoziazione di contratti relativi a titoli e merci
2419,66.12.00,66.12.00 - Attività di negoziazione di contratti relativi a titoli e merci
2420,66.19,66.19 - Altre attività ausiliarie dei servizi finanziari (escluse le assicurazioni e i fondi pensione)
2421,66.19.1,66.19.1 - Attività di gestione ed elaborazione di pagamenti tramite carta di credito
2422,66.19.10,66.19.10 - Attività di gestione ed elaborazione di pagamenti tramite carta di credito
2423,66.19.2,66.19.2 - Attività di promotori e mediatori finanziari
2424,66.19.21,66.19.21 - Promotori finanziari
2425,66.19.22,"66.19.22 - Agenti, mediatori e procacciatori in prodotti finanziari"
2426,66.19.3,66.19.3 - Attività delle società fiduciarie di amministrazione
2427,66.19.30,66.19.30 - Attività delle società fiduciarie di amministrazione
2428,66.19.4,66.19.4 - Attività di Bancoposta
2429,66.19.40,66.19.40 - Attività di Bancoposta
2430,66.19.5,66.19.5 - Servizi di trasferimento di denaro (money transfer)
2431,66.19.50,66.19.50 - Servizi di trasferimento di denaro (money transfer)
2432,66.2,66.2 - ATTIVITÀ AUSILIARIE DELLE ASSICURAZIONI E DEI FONDI PENSIONE
2433,66.21,66.21 - Valutazione dei rischi e dei danni
2434,66.21.0,66.21.0 - Attività dei periti e liquidatori indipendenti delle assicurazioni
2435,66.21.00,66.21.00 - Attività dei periti e liquidatori indipendenti delle assicurazioni
2436,66.22,66.22 - Attività di agenti e mediatori di assicurazioni
2437,66.22.0,66.22.0 - Attività degli agenti e broker delle assicurazioni
2438,66.22.01,66.22.01 - Broker di assicurazioni
2439,66.22.02,66.22.02 - Agenti di assicurazioni
2440,66.22.03,66.22.03 - Sub-agenti di assicurazioni
2441,66.22.04,"66.22.04 - Produttori, procacciatori ed altri intermediari delle assicurazioni"
2442,66.29,66.29 - Altre attività ausiliarie delle assicurazioni e dei fondi pensione
2443,66.29.0,66.29.0 - Altre attività ausiliarie delle assicurazioni e dei fondi pensione
2444,66.29.01,66.29.01 - Autorità centrali di vigilanza su assicurazioni e fondi pensione
2445,66.29.09,66.29.09 - Altre attività ausiliarie delle assicurazioni e dei fondi pensione nca
2446,66.3,66.3 - ATTIVITÀ DI GESTIONE DEI FONDI
2447,66.30,66.30 - Attività di gestione dei fondi
2448,66.30.0,66.30.0 - Gestione di fondi comuni di investimento e dei fondi pensione
2449,66.30.00,66.30.00 - Gestione di fondi comuni di investimento e dei fondi pensione
2450,68,68 - ATTIVITÀ IMMOBILIARI
2451,68.1,68.1 - COMPRAVENDITA DI BENI IMMOBILI EFFETTUATA SU BENI PROPRI
2452,68.10,68.10 - Compravendita di beni immobili effettuata su beni propri
2453,68.10.0,68.10.0 - Compravendita di beni immobili effettuata su beni propri
2454,68.10.00,68.10.00 - Compravendita di beni immobili effettuata su beni propri
2455,68.2,68.2 - AFFITTO E GESTIONE DI IMMOBILI DI PROPRIETÀ O IN LEASING 
2456,68.20,68.20 - Affitto e gestione di immobili di proprietà o in leasing
2457,68.20.0,68.20.0 - Affitto e gestione di immobili di proprietà o in leasing
2458,68.20.01,68.20.01 - Locazione immobiliare di beni propri o in leasing (affitto)
2459,68.20.02,68.20.02 - Affitto di aziende
2460,68.3,68.3 - ATTIVITÀ IMMOBILIARI PER CONTO TERZI
2461,68.31,68.31 - Attività di mediazione immobiliare
2462,68.31.0,68.31.0 - Attività di mediazione immobiliare
2463,68.31.00,68.31.00 - Attività di mediazione immobiliare
2464,68.32,68.32 - Gestione di immobili per conto terzi
2465,68.32.0,68.32.0 - Amministrazione di condomini e gestione di beni immobili per conto terzi
2466,68.32.00,68.32.00 - Amministrazione di condomini e gestione di beni immobili per conto terzi
2467,69,69 - ATTIVITÀ LEGALI E CONTABILITÀ
2468,69.1,69.1 - ATTIVITÀ DEGLI STUDI LEGALI
2469,69.10,69.10 - Attività degli studi legali e notarili
2470,69.10.1,69.10.1 - Attività degli studi legali
2471,69.10.10,69.10.10 - Attività degli studi legali
2472,69.10.2,69.10.2 - Attività degli studi notarili
2473,69.10.20,69.10.20 - Attività degli studi notarili
2474,69.2,"69.2 - CONTABILITÀ, CONTROLLO E REVISIONE CONTABILE, CONSULENZA IN MATERIA FISCALE E DEL LAVORO"
2475,69.20,"69.20 - Contabilità, controllo e revisione contabile, consulenza in materia fiscale e del lavoro"
2476,69.20.1,"69.20.1 - Attività degli studi commerciali, tributari e revisione contabile"
2477,69.20.11,69.20.11 - Servizi forniti da dottori commercialisti
2478,69.20.12,69.20.12 - Servizi forniti da ragionieri e periti commerciali
2479,69.20.13,"69.20.13 - Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi"
2480,69.20.14,69.20.14 - Attività svolta dai Centri di assistenza fiscale (Caf)
2481,69.20.15,69.20.15 - Gestione ed amministrazione del personale per conto terzi
2482,69.20.2,69.20.2 - Attività delle società di revisione e certificazione di bilanci
2483,69.20.20,69.20.20 - Attività delle società di revisione e certificazione di bilanci
2484,69.20.3,69.20.3 - Attività dei consulenti del lavoro
2485,69.20.30,69.20.30 - Attività dei consulenti del lavoro
2486,70,70 - ATTIVITÀ DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE 
2487,70.1,70.1 - ATTIVITÀ DI DIREZIONE AZIENDALE
2488,70.10,70.10 - Attività delle holding impegnate nelle attività gestionali (holding operative)
2489,70.10.0,70.10.0 - Attività delle holding impegnate nelle attività gestionali (holding operative)
2490,70.10.00,70.10.00 - Attività delle holding impegnate nelle attività gestionali (holding operative)
2491,70.2,70.2 - ATTIVITÀ DI CONSULENZA GESTIONALE
2492,70.21,70.21 - Pubbliche relazioni e comunicazione
2493,70.21.0,70.21.0 - Pubbliche relazioni e comunicazione
2494,70.21.00,70.21.00 - Pubbliche relazioni e comunicazione
2495,70.22,70.22 - Consulenza imprenditoriale e altra consulenza amministrativo-gestionale
2496,70.22.0,70.22.0 - Consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale
2497,70.22.01,70.22.01 - Attività di consulenza per la gestione della logistica aziendale
2498,70.22.09,70.22.09 - Altre attività di consulenza imprenditoriale e altra consulenza amministrativogestionale e pianificazione aziendale
2499,71,71 - ATTIVITÀ DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAUDI ED ANALISI TECNICHE
2500,71.1,"71.1 - ATTIVITÀ DEGLI STUDI DI ARCHITETTURA, INGEGNERIA ED ALTRI STUDI TECNICI"
2501,71.11,71.11 - Attività degli studi di architettura
2502,71.11.0,71.11.0 - Attività degli studi di architettura
2503,71.11.00,71.11.00 - Attività degli studi di architettura
2504,71.12,71.12 - Attività degli studi d'ingegneria ed altri studi tecnici
2505,71.12.1,71.12.1 - Attività degli studi di ingegneria
2506,71.12.10,71.12.10 - Attività degli studi di ingegneria
2507,71.12.2,71.12.2 - Servizi di progettazione di ingegneria integrata
2508,71.12.20,71.12.20 - Servizi di progettazione di ingegneria integrata
2509,71.12.3,71.12.3 - Attività tecniche svolte da geometri
2510,71.12.30,71.12.30 - Attività tecniche svolte da geometri
2511,71.12.4,71.12.4 - Attività di cartografia e aerofotogrammetria
2512,71.12.40,71.12.40 - Attività di cartografia e aerofotogrammetria
2513,71.12.5,71.12.5 - Attività di studio geologico e di prospezione geognostica e mineraria
2514,71.12.50,71.12.50 - Attività di studio geologico e di prospezione geognostica e mineraria
2515,71.2,71.2 - COLLAUDI ED ANALISI TECNICHE
2516,71.20,71.20 - Collaudi ed analisi tecniche
2517,71.20.1,71.20.1 - Collaudi ed analisi tecniche di prodotti
2518,71.20.10,71.20.10 - Collaudi e analisi tecniche di prodotti
2519,71.20.2,"71.20.2 - Controllo di qualità e certificazione di prodotti, processi e sistemi"
2520,71.20.21,"71.20.21 - Controllo di qualità e certificazione di prodotti, processi e sistemi"
2521,71.20.22,71.20.22 - Attività per la tutela di beni di produzione controllata
2522,72,72 - RICERCA SCIENTIFICA E SVILUPPO
2523,72.1,72.1 - RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA
2524,72.11,72.11 - Ricerca e sviluppo sperimentale nel campo delle biotecnologie
2525,72.11.0,72.11.0 - Ricerca e sviluppo sperimentale nel campo delle biotecnologie
2526,72.11.00,72.11.00 - Ricerca e sviluppo sperimentale nel campo delle biotecnologie
2527,72.19,72.19 - Altre attività di ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria
2528,72.19.0,72.19.0 - Altre attività di ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria
2529,72.19.01,72.19.01 - Ricerca e sviluppo sperimentale nel campo della geologia
2530,72.19.09,72.19.09 - Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria
2531,72.2,72.2 - RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE SOCIALI E UMANISTICHE
2532,72.20,72.20 - Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche
2533,72.20.0,72.20.0 - Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche
2534,72.20.00,72.20.00 - Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche
2535,73,73 - PUBBLICITÀ E RICERCHE DI MERCATO
2536,73.1,73.1 - PUBBLICITÀ
2537,73.11,73.11 - Agenzie pubblicitarie
2538,73.11.0,73.11.0 - Agenzie pubblicitarie
2539,73.11.01,73.11.01 - Ideazione di campagne pubblicitarie
2540,73.11.02,73.11.02 - Conduzione di campagne di marketing e altri servizi pubblicitari
2541,73.12,73.12 - Attività delle concessionarie e degli altri intermediari di servizi pubblicitari
2542,73.12.0,73.12.0 - Attività delle concessionarie e degli altri intermediari di servizi pubblicitari
2543,73.12.00,73.12.00 - Attività delle concessionarie e degli altri intermediari di servizi pubblicitari
2544,73.2,73.2 - RICERCHE DI MERCATO E SONDAGGI DI OPINIONE
2545,73.20,73.20 - Ricerche di mercato e sondaggi di opinione
2546,73.20.0,73.20.0 - Ricerche di mercato e sondaggi di opinione
2547,73.20.00,73.20.00 - Ricerche di mercato e sondaggi di opinione
2548,74,"74 - ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE"
2549,74.1,74.1 - ATTIVITÀ DI DESIGN SPECIALIZZATE
2550,74.10,74.10 - Attività di design specializzate
2551,74.10.1,74.10.1 - Attività di design di moda e design industriale
2552,74.10.10,74.10.10 - Attività di design di moda e design industriale
2553,74.10.2,74.10.2 - Attività dei disegnatori grafici
2554,74.10.21,74.10.21 - Attività dei disegnatori grafici di pagine web
2555,74.10.29,74.10.29 - Altre attività dei disegnatori grafici
2556,74.10.3,74.10.3 - Attività dei disegnatori tecnici
2557,74.10.30,74.10.30 - Attività dei disegnatori tecnici
2558,74.10.9,74.10.9 - Altre attività di design
2559,74.10.90,74.10.90 - Altre attività di design
2560,74.2,74.2 - ATTIVITÀ FOTOGRAFICHE
2561,74.20,74.20 - Attività fotografiche
2562,74.20.1,74.20.1 - Attività di riprese fotografiche
2563,74.20.11,74.20.11 - Attività di fotoreporter
2564,74.20.12,74.20.12 - Attività di riprese aeree nel campo della fotografia
2565,74.20.19,74.20.19 - Altre attività di riprese fotografiche
2566,74.20.2,74.20.2 - Laboratori fotografici per lo sviluppo e la stampa
2567,74.20.20,74.20.20 - Laboratori fotografici per lo sviluppo e la stampa
2568,74.3,74.3 - TRADUZIONE E INTERPRETARIATO
2569,74.30,74.30 - Traduzione e interpretariato
2570,74.30.0,74.30.0 - Traduzione e interpretariato
2571,74.30.00,74.30.00 - Traduzione e interpretariato
2572,74.9,"74.9 - ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE NCA"
2573,74.90,"74.90 - Altre attività professionali, scientifiche e tecniche nca"
2574,74.90.1,74.90.1 - Consulenza agraria
2575,74.90.11,74.90.11 - Consulenza agraria fornita da agronomi
2576,74.90.12,74.90.12 - Consulenza agraria fornita da agrotecnici e periti agrari
2577,74.90.2,74.90.2 - Consulenza in materia di sicurezza
2578,74.90.21,74.90.21 - Consulenza sulla sicurezza ed igiene dei posti di lavoro
2579,74.90.29,74.90.29 - Altra attività di consulenza in materia di sicurezza
2580,74.90.9,"74.90.9 - Altre attività di assistenza e consulenza professionale, scientifica e tecnica nca"
2581,74.90.91,74.90.91 - Attività tecniche svolte da periti industriali
2582,74.90.92,74.90.92 - Attività riguardanti le previsioni meteorologiche
2583,74.90.93,74.90.93 - Altre attività di consulenza tecnica nca
2584,74.90.94,74.90.94 - Agenzie ed agenti o procuratori per lo spettacolo e lo sport
2585,74.90.99,74.90.99 - Altre attività professionali nca
2586,75,75 - SERVIZI VETERINARI
2587,75.0,75.0 - SERVIZI VETERINARI
2588,75.00,75.00 - Servizi veterinari
2589,75.00.0,75.00.0 - Servizi veterinari
2590,75.00.00,75.00.00 - Servizi veterinari
2591,77,77 - ATTIVITÀ DI NOLEGGIO E LEASING OPERATIVO
2592,77.1,77.1 - NOLEGGIO DI AUTOVEICOLI
2593,77.11,77.11 - Noleggio di autovetture ed autoveicoli leggeri
2594,77.11.0,77.11.0 - Noleggio di autovetture ed autoveicoli leggeri
2595,77.11.00,77.11.00 - Noleggio di autovetture ed autoveicoli leggeri
2596,77.12,77.12 - Noleggio di autocarri e di altri veicoli pesanti
2597,77.12.0,77.12.0 - Noleggio di autocarri e di altri veicoli pesanti
2598,77.12.00,77.12.00 - Noleggio di autocarri e di altri veicoli pesanti
2599,77.2,77.2 - NOLEGGIO DI BENI PER USO PERSONALE E PER LA CASA
2600,77.21,77.21 - Noleggio di attrezzature sportive e ricreative
2601,77.21.0,77.21.0 - Noleggio di attrezzature sportive e ricreative
2602,77.21.01,77.21.01 - Noleggio di biciclette
2603,77.21.02,77.21.02 - Noleggio senza equipaggio di imbarcazioni da diporto (inclusi i pedalò)
2604,77.21.09,77.21.09 - Noleggio di altre attrezzature sportive e ricreative
2605,77.22,77.22 - Noleggio di videocassette e dischi
2606,77.22.0,"77.22.0 - Noleggio di videocassette, Cd, Dvd e dischi contenenti audiovisivi o videogame"
2607,77.22.00,"77.22.00 - Noleggio di videocassette, Cd, Dvd e dischi contenenti audiovisivi o videogame"
2608,77.29,77.29 - Noleggio di altri beni per uso personale e domestico (escluse le attrezzature sportive e ricreative)
2609,77.29.1,"77.29.1 - Noleggio di biancheria da tavola, da letto, da bagno e di articoli di vestiario"
2610,77.29.10,"77.29.10 - Noleggio di biancheria da tavola, da letto, da bagno e di articoli di vestiario"
2611,77.29.9,77.29.9 - Noleggio di altri beni per uso personale e domestico nca (escluse le attrezzature sportive e ricreative)
2612,77.29.90,77.29.90 - Noleggio di altri beni per uso personale e domestico nca (escluse le attrezzature sportive e ricreative)
2613,77.3,"77.3 - NOLEGGIO DI ALTRE MACCHINE, ATTREZZATURE E BENI MATERIALI"
2614,77.31,77.31 - Noleggio di macchine e attrezzature agricole
